MeterId,MeterAddress,SlotPosition,Phase,PhaseSeq,Protocol,CJQ_Address,DvcId
144,003702668916,单相表,B,0,3,0,1
145,003702668247,单相表,B,0,3,0,1
146,003702670221,单相表,B,0,3,0,1
147,003702669068,单相表,B,0,3,0,1
148,003702668932,单相表,B,0,3,0,1
149,003702669203,单相表,B,0,3,0,1
150,003702669991,单相表,B,0,3,0,1
151,003702669187,单相表,B,0,3,0,1
152,003702672735,单相表,B,0,3,0,1
153,003702672338,单相表,B,0,3,0,1
154,003702672848,单相表,B,0,3,0,1
155,003702672733,单相表,B,0,3,0,1
156,003702670208,单相表,B,0,3,0,1
157,003702670058,单相表,B,0,3,0,1
158,003702672731,单相表,B,0,3,0,1
159,003702672323,单相表,B,0,3,0,1
160,003702670237,单相表,B,0,3,0,1
161,003702670071,单相表,B,0,3,0,1
162,003702672341,单相表,B,0,3,0,1
163,003702669279,单相表,B,0,3,0,1
164,003702670224,单相表,B,0,3,0,1
165,003702668310,单相表,B,0,3,0,1
166,003702669255,单相表,B,0,3,0,1
167,003702669617,单相表,B,0,3,0,1
168,003702592972,单相表,B,0,3,0,1
169,003702672730,单相表,B,0,3,0,1
170,003702669515,单相表,B,0,3,0,1
171,003702668708,单相表,B,0,3,0,1
172,003702672329,单相表,B,0,3,0,1
173,003702592966,单相表,B,0,3,0,1
174,003702668723,单相表,B,0,3,0,1
175,003702669048,单相表,B,0,3,0,1
176,003702672363,单相表,B,0,3,0,1
177,003702668886,单相表,B,0,3,0,1
178,003702669129,单相表,B,0,3,0,1
179,003702670220,单相表,B,0,3,0,1
180,003702668714,单相表,B,0,3,0,1
181,003702668786,单相表,B,0,3,0,1
182,000000036012,单相表,ABC,0,3,0,1
183,000000036282,单相表,ABC,0,3,0,1
184,003702672716,单相表,B,0,3,0,1
185,003702670222,单相表,B,0,3,0,1
186,003702669350,单相表,B,0,3,0,1
187,003702669523,单相表,B,0,3,0,1
188,001900523776,单相表,A,0,2,0,1
189,001900523715,单相表,A,0,2,0,1
190,001900530840,单相表,A,0,2,0,1
191,001900530508,单相表,A,0,2,0,1
192,001900523778,单相表,A,0,2,0,1
193,001900523459,单相表,A,0,2,0,1
194,001900523784,单相表,A,0,2,0,1
195,001900523513,单相表,A,0,2,0,1
196,001900523458,单相表,A,0,2,0,1
197,001900523452,单相表,A,0,2,0,1
198,001900530837,单相表,A,0,2,0,1
199,001900530559,单相表,A,0,2,0,1
200,001900530829,单相表,A,0,2,0,1
201,001900523777,单相表,A,0,2,0,1
202,001900523460,单相表,A,0,2,0,1
203,001900530516,单相表,A,0,2,0,1
204,001900523456,单相表,A,0,2,0,1
205,001900523512,单相表,A,0,2,0,1
206,001900523630,单相表,A,0,2,0,1
207,001900530560,单相表,A,0,2,0,1
208,001900523779,单相表,A,0,2,0,1
209,001900523783,单相表,A,0,2,0,1
210,001900529901,单相表,A,0,2,0,1
211,001900530513,单相表,A,0,2,0,1
212,001900523517,单相表,A,0,2,0,1
213,001900523510,单相表,A,0,2,0,1
214,001900530510,单相表,A,0,2,0,1
215,001900530838,单相表,A,0,2,0,1
216,001900523723,单相表,A,0,2,0,1
217,001900530553,单相表,A,0,2,0,1
218,001900529899,单相表,A,0,2,0,1
219,001900523633,单相表,A,0,2,0,1
220,001900530832,单相表,A,0,2,0,1
221,001900523774,单相表,A,0,2,0,1
222,001900530515,单相表,A,0,2,0,1
223,001900523634,单相表,A,0,2,0,1
224,001900530830,单相表,A,0,2,0,1
225,001900523714,单相表,A,0,2,0,1
226,001900530563,单相表,A,0,2,0,1
227,001900523514,单相表,A,0,2,0,1
228,001900530506,单相表,A,0,2,0,1
229,001900523773,单相表,A,0,2,0,1
230,001900523636,单相表,A,0,2,0,1
231,001900523775,单相表,A,0,2,0,1
232,001900530836,单相表,A,0,2,0,1
233,001900523782,单相表,A,0,2,0,1
234,001900523451,单相表,A,0,2,0,1
235,001900523520,单相表,A,0,2,0,1
236,001900523781,单相表,A,0,2,0,1
237,001900529741,单相表,A,0,2,0,1
238,001900523509,单相表,A,0,2,0,1
239,001900529895,单相表,A,0,2,0,1
240,001900530564,单相表,A,0,2,0,1
241,001900530514,单相表,A,0,2,0,1
242,001900523635,单相表,A,0,2,0,1
243,001900523719,单相表,A,0,2,0,1
244,001900523453,单相表,A,0,2,0,1
245,001900529896,单相表,A,0,2,0,1
246,001900523720,单相表,A,0,2,0,1
247,001900523450,单相表,A,0,2,0,1
248,001900523511,单相表,A,0,2,0,1
249,001900530509,单相表,A,0,2,0,1
250,001900530839,单相表,A,0,2,0,1
251,001900523718,单相表,A,0,2,0,1
252,001900529900,单相表,A,0,2,0,1
253,001900530512,单相表,A,0,2,0,1
254,001900523716,单相表,A,0,2,0,1
